zone_id,date,rainfall_mm,water_depth_cm,drain_clearance_pct,road_blockage_pct,citizen_report_count,response_time_min
WL-1001,2026-09-07,84,19.1,73,79,6,56
WL-1001,2026-08-14,166,24.2,87,24,15,11
WL-1001,2026-07-25,156,41.0,94,75,9,53
WL-1001,2026-06-18,128,22.6,98,12,4,12
WL-1001,2026-05-18,134,14.5,84,36,7,42
WL-1002,2026-09-09,84,40.9,72,51,9,51
WL-1002,2026-08-11,168,26.9,70,78,12,12
WL-1002,2026-07-21,106,28.1,73,8,2,42
WL-1002,2026-06-15,83,1.5,97,49,8,66
WL-1002,2026-05-10,59,21.2,83,22,9,42
WL-1003,2026-09-23,152,4.3,83,74,2,67
WL-1003,2026-08-23,159,14.7,30,38,3,22
WL-1003,2026-07-03,107,13.2,70,63,15,47
WL-1003,2026-06-08,24,20.1,84,67,8,66
WL-1003,2026-05-16,74,7.8,39,11,12,22
WL-1004,2026-09-14,52,23.3,96,10,6,36
WL-1004,2026-08-21,176,17.3,54,72,11,60
WL-1004,2026-07-21,47,23.9,59,27,1,45
WL-1004,2026-06-06,123,25.3,96,21,14,16
WL-1004,2026-05-04,174,15.9,55,6,11,75
WL-1005,2026-09-19,60,24.1,51,32,6,63
WL-1005,2026-08-17,69,22.2,33,50,7,35
WL-1005,2026-07-23,154,37.9,71,67,12,58
WL-1005,2026-06-02,121,37.0,41,85,4,31
WL-1005,2026-05-02,94,38.9,48,26,3,27
WL-1006,2026-09-26,43,30.2,35,39,1,40
WL-1006,2026-08-18,71,36.2,36,13,10,74
WL-1006,2026-07-04,22,13.8,35,79,15,50
WL-1006,2026-06-25,141,9.9,60,66,4,30
WL-1006,2026-05-18,138,8.3,86,23,5,62
WL-1007,2026-09-16,37,3.1,65,8,10,10
WL-1007,2026-08-06,128,23.3,100,73,4,30
WL-1007,2026-07-03,143,1.4,82,12,8,36
WL-1007,2026-06-24,35,11.5,53,26,14,57
WL-1007,2026-05-23,112,23.9,74,73,11,67
WL-1008,2026-09-03,156,15.8,37,6,2,32
WL-1008,2026-08-05,100,40.5,59,51,8,47
WL-1008,2026-07-15,86,11.0,73,58,9,8
WL-1008,2026-06-21,41,20.5,64,20,4,34
WL-1008,2026-05-25,24,32.5,84,31,0,47
WL-1009,2026-09-13,119,14.8,85,13,2,45
WL-1009,2026-08-18,167,3.0,56,79,1,36
WL-1009,2026-07-23,95,38.8,88,63,13,38
WL-1009,2026-06-10,107,34.0,86,69,0,18
WL-1009,2026-05-17,158,23.5,56,43,10,47
WL-1010,2026-09-25,74,25.9,99,51,2,32
WL-1010,2026-08-05,52,22.9,58,65,1,58
WL-1010,2026-07-16,147,33.0,45,72,8,63
WL-1010,2026-06-03,160,12.0,91,81,1,34
WL-1010,2026-05-23,107,12.8,60,70,13,12
WL-1011,2026-09-11,43,22.9,30,24,14,23
WL-1011,2026-08-24,155,17.4,85,60,7,60
WL-1011,2026-07-04,98,23.7,42,17,13,65
WL-1011,2026-06-04,74,16.5,54,77,9,53
WL-1011,2026-05-01,49,3.9,64,70,2,48
WL-1012,2026-09-12,145,18.3,52,37,1,11
WL-1012,2026-08-07,87,41.9,100,6,0,58
WL-1012,2026-07-23,81,22.2,83,85,2,45
WL-1012,2026-06-03,21,24.6,92,21,8,61
WL-1012,2026-05-22,22,36.0,44,26,1,75
WL-1013,2026-09-10,22,9.0,77,42,6,18
WL-1013,2026-08-07,168,43.3,39,67,13,38
WL-1013,2026-07-07,40,29.5,79,77,3,33
WL-1013,2026-06-13,19,31.4,50,57,2,53
WL-1013,2026-05-10,23,27.6,90,7,12,41
WL-1014,2026-09-13,27,3.8,55,5,11,69
WL-1014,2026-08-06,78,42.8,96,66,4,65
WL-1014,2026-07-07,111,30.7,41,38,6,17
WL-1014,2026-06-01,108,5.1,69,36,15,64
WL-1014,2026-05-26,49,31.6,50,56,9,56
WL-1015,2026-09-08,93,21.2,86,43,10,46
WL-1015,2026-08-26,169,24.0,64,85,5,31
WL-1015,2026-07-26,167,44.4,44,69,11,9
WL-1015,2026-06-09,25,14.6,43,51,8,46
WL-1015,2026-05-19,79,15.8,37,43,5,59
WL-1016,2026-09-02,37,0.5,37,50,3,22
WL-1016,2026-08-04,80,2.5,87,39,6,15
WL-1016,2026-07-07,73,39.7,63,22,1,8
WL-1016,2026-06-10,23,20.7,60,24,14,49
WL-1016,2026-05-19,20,9.8,91,65,0,61
WL-1017,2026-09-24,79,20.1,55,81,3,65
WL-1017,2026-08-24,90,38.5,42,18,10,23
WL-1017,2026-07-17,98,4.8,91,22,0,67
WL-1017,2026-06-03,74,3.7,74,42,11,19
WL-1017,2026-05-25,54,39.9,47,53,7,29
WL-1018,2026-09-25,18,15.9,63,25,5,63
WL-1018,2026-08-14,114,33.7,94,61,15,40
WL-1018,2026-07-20,45,16.5,87,51,7,11
WL-1018,2026-06-13,164,13.3,96,3,7,47
WL-1018,2026-05-16,94,38.2,51,29,11,40
WL-1019,2026-09-16,62,30.4,100,14,10,61
WL-1019,2026-08-10,99,40.3,72,64,3,43
WL-1019,2026-07-12,71,25.9,50,38,14,60
WL-1019,2026-06-04,32,38.8,88,34,1,34
WL-1019,2026-05-08,48,23.4,99,21,2,16
WL-1020,2026-09-04,99,33.6,98,52,6,26
WL-1020,2026-08-01,129,6.6,74,30,7,29
WL-1020,2026-07-25,65,33.7,30,4,6,56
WL-1020,2026-06-20,83,2.6,64,73,2,40
WL-1020,2026-05-09,86,38.7,36,45,2,61
WL-1021,2026-09-10,135,9.5,72,17,11,31
WL-1021,2026-08-14,132,34.1,53,63,2,55
WL-1021,2026-07-21,15,26.9,81,78,8,40
WL-1021,2026-06-13,71,16.3,55,15,5,10
WL-1021,2026-05-14,16,26.0,81,23,1,50
WL-1022,2026-09-25,76,25.7,42,56,0,40
WL-1022,2026-08-17,61,20.1,88,4,6,71
WL-1022,2026-07-08,126,26.2,80,5,6,12
WL-1022,2026-06-06,130,42.9,44,45,8,25
WL-1022,2026-05-07,132,38.5,40,7,14,72
WL-1023,2026-09-11,66,18.4,55,38,6,24
WL-1023,2026-08-15,138,24.1,97,51,4,18
WL-1023,2026-07-17,64,31.3,39,51,9,18
WL-1023,2026-06-25,175,5.8,64,44,1,58
WL-1023,2026-05-14,175,29.9,55,30,5,11
WL-1024,2026-09-16,157,22.4,77,10,9,10
WL-1024,2026-08-07,38,39.9,75,84,12,25
WL-1024,2026-07-03,171,10.9,33,49,15,39
WL-1024,2026-06-24,131,18.9,97,44,6,26
WL-1024,2026-05-08,99,29.3,30,65,0,14
WL-1025,2026-09-07,149,10.3,71,85,3,59
WL-1025,2026-08-12,51,7.0,42,19,7,57
WL-1025,2026-07-03,164,17.8,92,74,7,60
WL-1025,2026-06-08,166,8.7,78,43,14,66
WL-1025,2026-05-04,175,36.5,38,75,1,45
WL-1026,2026-09-03,57,41.5,39,84,7,58
WL-1026,2026-08-06,132,14.1,97,5,7,35
WL-1026,2026-07-08,47,14.4,78,44,14,71
WL-1026,2026-06-22,28,27.8,91,53,15,17
WL-1026,2026-05-04,87,34.5,61,41,0,64
WL-1027,2026-09-18,52,27.7,78,15,15,21
WL-1027,2026-08-22,34,8.1,65,60,10,15
WL-1027,2026-07-09,167,10.6,33,65,1,35
WL-1027,2026-06-17,90,2.0,94,5,9,41
WL-1027,2026-05-10,178,4.0,91,28,2,46
WL-1028,2026-09-05,146,36.7,69,3,6,28
WL-1028,2026-08-05,39,10.2,95,56,6,70
WL-1028,2026-07-02,149,44.4,34,19,10,37
WL-1028,2026-06-07,139,35.5,60,64,5,55
WL-1028,2026-05-01,24,32.1,56,12,12,61
