zone_id,zone_name,area,elevation_risk_pct,drainage_capacity_pct,road_importance_pct,population_exposure,critical_facilities,drain_clearance_pct,response_team_readiness_pct,rainfall_24h_mm,rainfall_6h_mm,low_lying_pct,road_blockage_pct,response_distance_km
WL-1001,Central Basin Zone 1,Central Basin,51,50,34,1012,3,54,65,163,13,78,59,3.5
WL-1002,University District Zone 2,University District,59,93,64,313,5,54,87,88,44,18,78,3.5
WL-1003,Railway Corridor Zone 3,Railway Corridor,51,57,64,1035,3,39,64,53,11,78,78,7.1
WL-1004,Riverside East Zone 4,Riverside East,31,63,52,384,0,91,67,177,10,36,16,1.7
WL-1005,Old City Zone 1,Old City,43,78,90,1089,5,42,66,53,48,77,6,10.3
WL-1006,Industrial South Zone 2,Industrial South,62,65,63,418,5,59,54,51,85,75,26,9.0
WL-1007,Northern Fringe Zone 3,Northern Fringe,22,38,64,1350,5,81,98,170,88,36,33,10.0
WL-1008,Central Basin Zone 4,Central Basin,58,50,52,828,1,69,75,160,72,59,10,4.1
WL-1009,University District Zone 1,University District,74,85,56,1505,4,76,60,32,14,52,59,4.3
WL-1010,Railway Corridor Zone 2,Railway Corridor,22,74,40,1020,1,42,77,157,8,54,54,11.0
WL-1011,Riverside East Zone 3,Riverside East,42,45,57,1459,3,43,50,123,21,75,68,2.1
WL-1012,Old City Zone 4,Old City,89,55,28,880,2,60,68,41,19,18,34,4.6
WL-1013,Industrial South Zone 1,Industrial South,87,53,36,625,3,88,62,124,91,77,85,7.9
WL-1014,Northern Fringe Zone 2,Northern Fringe,32,64,26,1168,2,37,58,130,44,66,79,4.8
WL-1015,Central Basin Zone 3,Central Basin,88,58,31,957,5,48,51,88,40,15,23,4.7
WL-1016,University District Zone 4,University District,19,40,30,473,5,50,74,81,92,22,16,5.8
WL-1017,Railway Corridor Zone 1,Railway Corridor,27,95,56,152,5,38,72,38,14,27,60,5.2
WL-1018,Riverside East Zone 2,Riverside East,54,42,59,660,1,91,61,153,33,75,28,7.9
WL-1019,Old City Zone 3,Old City,82,67,75,589,2,88,76,182,21,63,55,8.3
WL-1020,Industrial South Zone 4,Industrial South,87,77,51,317,4,76,54,141,10,30,84,6.7
WL-1021,Northern Fringe Zone 1,Northern Fringe,62,89,68,1657,0,55,68,76,15,14,19,1.5
WL-1022,Central Basin Zone 2,Central Basin,75,93,42,1203,4,71,76,102,88,74,47,9.2
WL-1023,University District Zone 3,University District,56,76,48,1749,0,98,84,157,26,84,8,3.7
WL-1024,Railway Corridor Zone 4,Railway Corridor,52,50,52,466,0,64,50,91,84,68,62,5.3
WL-1025,Riverside East Zone 1,Riverside East,58,85,33,928,4,100,48,160,84,48,11,9.9
WL-1026,Old City Zone 2,Old City,35,95,36,916,2,42,52,28,60,18,69,10.6
WL-1027,Industrial South Zone 3,Industrial South,81,62,31,1366,2,48,80,174,53,49,20,10.5
WL-1028,Northern Fringe Zone 4,Northern Fringe,83,54,80,1299,3,93,65,134,23,74,40,5.7
